Target, Prediction, Time
1660.98,1861.78325714,2012-05-26 07:35:00
1660.66,0,2012-05-26 07:36:00
1582.01,0,2012-05-26 07:37:00
1576.17,0,2012-05-26 07:38:00
1584.46,1824.67256189,2012-05-26 07:39:00
1582.62,1824.67256189,2012-05-26 07:40:00
1584.55,0,2012-05-26 07:41:00
1586.42,0,2012-05-26 07:42:00
1585.63,0,2012-05-26 07:43:00
1584.24,1851.75583766,2012-05-26 07:44:00
1581.54,1851.75583766,2012-05-26 07:45:00
1582.8,0,2012-05-26 07:46:00
1583.82,0,2012-05-26 07:47:00
1579.94,0,2012-05-26 07:48:00
1578.7,1878.83783796,2012-05-26 07:49:00
1683.13,1878.83783796,2012-05-26 07:50:00
1721.12,0,2012-05-26 07:51:00
1689.25,0,2012-05-26 07:52:00
1692.97,0,2012-05-26 07:53:00
1694.75,1896.89335513,2012-05-26 07:54:00
1672.75,1896.89335513,2012-05-26 07:55:00
1583.97,0,2012-05-26 07:56:00
1576.86,0,2012-05-26 07:57:00
1571.33,0,2012-05-26 07:58:00
1594.91,1914.71438139,2012-05-26 07:59:00
1686.01,1914.71438139,2012-05-26 08:00:00
1692.38,0,2012-05-26 08:01:00
1706.85,0,2012-05-26 08:02:00
1711.18,0,2012-05-26 08:03:00
1778.59,1994.13285133,2012-05-26 08:04:00
2131.73,1994.13285133,2012-05-26 08:05:00
2235.06,0,2012-05-26 08:06:00
2523.74,0,2012-05-26 08:07:00
2154.11,0,2012-05-26 08:08:00
2107.91,2709.10424262,2012-05-26 08:09:00
2123.28,2066.4547257,2012-05-26 08:10:00
2095.26,0,2012-05-26 08:11:00
2077.49,0,2012-05-26 08:12:00
1932.23,0,2012-05-26 08:13:00
1933.75,2099.3361182,2012-05-26 08:14:00
1966.0,3384.63515205,2012-05-26 08:15:00
1904.61,0,2012-05-26 08:16:00
1859.08,0,2012-05-26 08:17:00
1903.73,0,2012-05-26 08:18:00
1854.77,2116.06178744,2012-05-26 08:19:00
1850.7,2758.71130436,2012-05-26 08:20:00
1864.27,0,2012-05-26 08:21:00
1844.88,0,2012-05-26 08:22:00
1942.19,0,2012-05-26 08:23:00
1993.0,2147.99421168,2012-05-26 08:24:00
2017.75,2147.99421168,2012-05-26 08:25:00
2107.91,0,2012-05-26 08:26:00
2100.74,0,2012-05-26 08:27:00
1821.29,0,2012-05-26 08:28:00
1380.77,2147.92961603,2012-05-26 08:29:00
1375.41,2147.92961603,2012-05-26 08:30:00
1417.41,0,2012-05-26 08:31:00
1508.93,0,2012-05-26 08:32:00
1969.52,747.863514368,2012-05-26 08:33:00
2053.9,2156.60837291,2012-05-26 08:34:00
2113.8,2156.60837291,2012-05-26 08:35:00
2166.08,0,2012-05-26 08:36:00
2194.06,0,2012-05-26 08:37:00
2285.69,0,2012-05-26 08:38:00
2406.0,2198.06392964,2012-05-26 08:39:00
2432.27,2198.06392964,2012-05-26 08:40:00
2424.88,0,2012-05-26 08:41:00
2428.38,0,2012-05-26 08:42:00
2421.07,0,2012-05-26 08:43:00
2426.74,2487.44937193,2012-05-26 08:44:00
2239.27,2487.44937193,2012-05-26 08:45:00
1675.04,0,2012-05-26 08:46:00
1673.12,0,2012-05-26 08:47:00
1953.17,0,2012-05-26 08:48:00
2372.03,2629.5374483,2012-05-26 08:49:00
2382.48,2629.5374483,2012-05-26 08:50:00
2351.65,0,2012-05-26 08:51:00
1832.93,0,2012-05-26 08:52:00
